Country Code,Year,Population
HIC,2019,1235852838
HKG,2019,7507400
HND,2019,9746117
HPC,2019,801708035
HRV,2019,4067500
HTI,2019,11263077
HUN,2019,9769949
IBD,2019,4816235953
IBT,2019,6486934853
IDA,2019,1670698900
IDB,2019,561572202
IDN,2019,270625568
IDX,2019,1109126698
IMN,2019,84584
IND,2019,1366417754
INX,2019,
IRL,2019,4941444
IRN,2019,82913906
IRQ,2019,39309783
ISL,2019,361313
ISR,2019,9053300
ITA,2019,60297396
JAM,2019,2948279
JOR,2019,10101694
JPN,2019,126264931
KAZ,2019,18513930
KEN,2019,52573973
KGZ,2019,6456900
KHM,2019,16486542
KIR,2019,117606
KNA,2019,52834
KOR,2019,51709098
KWT,2019,4207083
LAC,2019,613773119
LAO,2019,7169455
LBN,2019,6855713
LBR,2019,4937374
LBY,2019,6777452
LCA,2019,182790
LCN,2019,646430843
LDC,2019,1033388876
LIC,2019,668454965
LIE,2019,38019
LKA,2019,21803000
LMC,2019,2913363391
LMY,2019,6437681136
LSO,2019,2125268
LTE,2019,2298470832
LTU,2019,2786844
LUX,2019,619896
LVA,2019,1912789
MAC,2019,640445
MAF,2019,38002
MAR,2019,36471769
MCO,2019,38964
MDA,2019,2657637
MDG,2019,26969307
MDV,2019,530953
MEA,2019,456707404
MEX,2019,127575529
MHL,2019,58791
MIC,2019,5769226171
MKD,2019,2083459
MLI,2019,19658031
MLT,2019,502653
MMR,2019,54045420
MNA,2019,389457086
MNE,2019,622137
MNG,2019,3225167
MNP,2019,57216
MOZ,2019,30366036
MRT,2019,4525696
MUS,2019,1265711
MWI,2019,18628747
MYS,2019,31949777
NAC,2019,365892703
NAM,2019,2494530
NCL,2019,287800
NER,2019,23310715
NGA,2019,200963599
NIC,2019,6545502
NLD,2019,17332850
NOR,2019,5347896
NPL,2019,28608710
NRU,2019,12581
NZL,2019,4917000
OED,2019,1359963500
OMN,2019,4974986
OSS,2019,31360407
PAK,2019,216565318
PAN,2019,4246439
PER,2019,32510453
PHL,2019,108116615
PLW,2019,18008
PNG,2019,8776109
POL,2019,37970874
PRE,2019,944902749
PRI,2019,3193694
PRK,2019,25666161
PRT,2019,10269417
PRY,2019,7044636
PSE,2019,4685306
PSS,2019,2493696
PST,2019,1112914457
PYF,2019,279287
QAT,2019,2832067
ROU,2019,19356544
RUS,2019,144373535
RWA,2019,12626950
SAS,2019,1835776742
SAU,2019,34268528
SDN,2019,42813238
SEN,2019,16296364
SGP,2019,5703569
SLB,2019,669823
SLE,2019,7813215
SLV,2019,6453553
SMR,2019,33860
SOM,2019,15442905
SRB,2019,6944975
SSA,2019,1105594562
SSD,2019,11062113
SSF,2019,1106957898
SST,2019,41255486
STP,2019,215056
SUR,2019,581363
SVK,2019,5454073
SVN,2019,2087946
SWE,2019,10285453
SWZ,2019,1148130
SXM,2019,40733
SYC,2019,97625
SYR,2019,17070135
TCA,2019,38191
TCD,2019,15946876
TEA,2019,2067984156
TEC,2019,460799505
TGO,2019,8082366
THA,2019,69625582
TJK,2019,9321018
TKM,2019,5942089
TLA,2019,630644772
TLS,2019,1293119
TMN,2019,384771780
TON,2019,104494
TSA,2019,1835776742
TSS,2019,1106957898
TTO,2019,1394973
TUN,2019,11694719
TUR,2019,83429615
TUV,2019,11646
TZA,2019,58005463
UGA,2019,44269594
UKR,2019,44385155
UMC,2019,2855862780
URY,2019,3461734
USA,2019,328239523
UZB,2019,33580650
VCT,2019,110589
VEN,2019,28515829
VGB,2019,30030
VIR,2019,106631
VNM,2019,96462106
VUT,2019,299882
WLD,2019,7673533974
WSM,2019,197097
XKX,2019,1794248
YEM,2019,29161922
ZAF,2019,58558270
ZMB,2019,17861030
ZWE,2019,14645468
